country,sex,age,fatality,año,mes,shark_specimen,tipo_lesion,lugar_lesion
USA,Desconocido,unkwown,Desconocido,2016,03,others/unknown,golpe,others/unknown
USA,M,19,N,2016,03,others/unknown,laceración,pies
Fiji,M,45,Y,2016,03,others/unknown,others/unknown,others/unknown
USA,M,12,N,2016,03,others/unknown,others/unknown,pies
AUSTRALIA,M,unkwown,N,2016,03,whaler,herida,piernas
BRAZIL,M,41,N,2016,03,tiger,others/unknown,cabeza
NEW CALEDONIA,M,21,N,2016,02,others/unknown,herida,piernas
NEW CALEDONIA,M,31,N,2016,02,others/unknown,mordiscos,brazos
DOMINICAN REPUBLIC,F,unkwown,N,2016,02,others/unknown,others/unknown,piernas
CAYMAN ISLANDS,M,65,Desconocido,2016,02,others/unknown,others/unknown,manos
AUSTRALIA,M,unkwown,Desconocido,2016,02,others/unknown,others/unknown,others/unknown
AUSTRALIA,F,45,N,2016,02,others/unknown,others/unknown,pies
AUSTRALIA,M,40,N,2016,02,others/unknown,mordiscos,others/unknown
BRAZIL,M,41,N,2016,02,tiger,laceración,others/unknown
SOUTH AFRICA,M,unkwown,N,2016,01,others/unknown,others/unknown,others/unknown
USA,M,unkwown,N,2016,01,reef,laceración,manos
USA,F,15,N,2016,01,others/unknown,others/unknown,others/unknown
USA,M,unkwown,N,2016,01,bull,others/unknown,others/unknown
UNITED ARAB EMIRATES,M,unkwown,N,2016,01,mako,others/unknown,others/unknown
USA,M,48,N,2016,01,tiger,others/unknown,others/unknown
AUSTRALIA,M,unkwown,N,2016,01,wobbegong,laceración,pies
AUSTRALIA,M,11,N,2016,01,blacktip,laceración,piernas
AUSTRALIA,M,31,N,2016,01,others/unknown,laceración,piernas
SOUTH AFRICA,M,unkwown,N,2015,12,white,others/unknown,others/unknown
SPAIN,F,38,N,2015,12,others/unknown,laceración,brazos
USA,M,71,N,2015,12,others/unknown,mordiscos,others/unknown
AUSTRALIA,M,43,N,2015,12,whaler,others/unknown,others/unknown
BRAZIL,M,32,N,2015,12,tiger,others/unknown,brazos
ARUBA,M,58,Y,2015,12,others/unknown,others/unknown,others/unknown
AUSTRALIA,Desconocido,unkwown,N,2015,12,white,mordiscos,others/unknown
BAHAMAS,M,26,N,2015,12,bull,mordiscos,piernas
SOUTH AFRICA,F,22,N,2015,12,others/unknown,laceración,brazos
ECUADOR,M,55,N,2015,11,others/unknown,laceración,piernas
USA,M,unkwown,N,2015,11,others/unknown,others/unknown,pies
USA,F,unkwown,N,2015,11,others/unknown,others/unknown,piernas
USA,M,28,N,2015,11,spinner,laceración,manos
AUSTRALIA,M,20,N,2015,11,bull,others/unknown,piernas
USA,F,9,Desconocido,2015,12,others/unknown,others/unknown,piernas
USA,M,54,N,2015,11,others/unknown,laceración,pies
USA,F,28,N,2015,11,others/unknown,others/unknown,piernas
MOZAMBIQUE,M,19,N,2015,11,others/unknown,amputacion,brazos
AUSTRALIA,M,50,N,2015,10,others/unknown,others/unknown,others/unknown
USA,M,10,N,2015,10,others/unknown,laceración,piernas
SOUTH AFRICA,M,42,N,2015,10,white,laceración,piernas
USA,M,21,N,2015,10,others/unknown,laceración,manos
USA,M,21,N,2015,10,spinner,mordiscos,pies
MOZAMBIQUE,F,35,Y,2015,10,others/unknown,others/unknown,others/unknown
USA,M,32,Desconocido,2015,10,others/unknown,mordiscos,pies
USA,M,44,N,2015,10,tiger,amputacion,piernas
USA,M,unkwown,N,2015,10,hammerhead,golpe,others/unknown
USA,F,9,N,2015,10,others/unknown,laceración,brazos
USA,M,25,N,2015,10,tiger,others/unknown,piernas
MOZAMBIQUE,M,unkwown,N,2015,10,others/unknown,amputacion,brazos
AUSTRALIA,M,18,N,2015,10,others/unknown,others/unknown,pies
USA,M,22,N,2015,10,others/unknown,laceración,pies
USA,M,13,N,2015,10,others/unknown,mordiscos,pies
USA,M,14,N,2015,10,blacktip,laceración,manos
USA,M,22,N,2015,09,blacktip,laceración,pies
AUSTRALIA,F,7,N,2015,09,others/unknown,laceración,piernas
USA,M,unkwown,N,2015,09,white,others/unknown,others/unknown
USA,M,14,N,2015,09,others/unknown,others/unknown,pies
USA,M,27,N,2015,09,tiger,laceración,piernas
USA,M,12,N,2015,09,others/unknown,others/unknown,piernas
